Slno,Service Type,Company,Phone Number,Website
1,Closing Documents,"Accurate Document Service, Inc.",(800) 794-1706,https://www.accuratedocument.com
2,Credit Reporting,Accurate Financial,(800) 373-5333,https://www.creditinfosystems.com
3,Credit Reporting,"ACRAnet, Inc.",(877) 860-6248,https://www.acranet.com
4,Verification Services,Advanced Data,(800) 537-0458,http://www.advanceddata.com
5,Credit Reporting,Advantage Credit Bureau,(800) 568-4478,http://www.advantagecreditbureau.com
6,Bundled Services,Advantage Credit Bureau,(800) 568-4478,http://www.advantagecreditbureau.com
7,Flood Certification Services,Advantage Credit Inc.,(800) 670-7993,https://www.advcredit.com
8,Verification Services,Advantage Credit Inc.,(800) 670-7993,https://www.advcredit.com
9,Credit Reporting,Advantage Credit Inc.,(800) 670-7993,https://www.advcredit.com
10,Credit Reporting,Advantage Plus Credit,(623) 889-8999,http://www.advpluscredit.com
11,Appraisal Logistics,"AIM-Port, LLC",(443) 384-1821,https://aim-port.com
12,Title/Escrow Services,Alamo Title,(866) 717-1707,https://www.alamotitle.com/
13,Flood Certification Services,"American Flood Research, Inc. (AFR)",(800) 995-8667,https://www.afrservices.com/login
14,Credit Reporting,American Reporting Company (ARC),(800) 992-1058,http://www.arcreports.com
15,Appraisal Logistics,Appraisal Firewall,(800) 452-1174,https://www.appraisalfirewall.com/afdesktop/?LoginState
16,Mortgage Insurance Interfaces,Arch MI,(800) 897-4264,http://www.archcapgroup.com
17,Credit Reporting,Avantus,(800) 243-0120,https://www.avantus.com
18,Closing Documents,Baird Law PLLC,,https://bairdlaw.com/
19,Credit Reporting,"Birchwood Credit Services, Inc.",(800) 910-0015,https://www.birchwoodcreditservices.com
20,Closing Documents,"Black, Mann, & Graham LLP",(888) 293-0505,https://www.jetdocs.com/Default.aspx
21,AVM Reports,CBCInnovis,(877) 284-8322,https://www.cbcinnovis.com
22,Credit Reporting,CCR,(508) 926-2200,https://www.grantthornton.com
23,Credit Reporting,Certified Credit Link,(800) 769-7615,http://certifiedcredit.com
24,Credit Reporting,"Certified Credit Reporting, Inc.",(800) 769-7615,http://certifiedcredit.com
25,Appraisal Services,"Certified Credit Reporting, Inc.",(800) 769-7615,http://certifiedcredit.com
26,Title/Escrow Services,Chicago Title Company,(866) 717-1707,https://www.ctic.com
27,Credit Reporting,CIC Mortgage Credit,(800) 352-5882,https://www.ciccredit.com
28,Credit Reporting,CISCO,(800) 804-0043,https://ciscocredit.com
29,Title/Escrow Services,Coast to Coast Title & Escrow,(727) 538-4228,https://www.ctctitle.com/
30,Title/Escrow Services,Commonwealth Title,(888) 934-3354,https://www.cltic.com/Default.aspx
31,Compliance,Compliance EAGLE,(800) 575-4632,https://www.ncontracts.com/contact-us
32,Verification Services,ComplianceEase,(650) 373-1111,https://www.situsamc.com/complianceease
33,AVM Reports,CoreLogic,(800) 426-1466,http://www.corelogic.com
34,Flood Certification Services,CoreLogic Flood Services,(800) 447-1772,http://www.corelogic.com
35,HOA,Covered Home Insurance Marketplace,(833)487-2683,https://itscovered.com/mortgage-pro
36,Credit Reporting,"Credit Data Systems, Inc.",(800) 395-1873,http://www.creditdatasystems.com
37,Credit Reporting,Credit Information Systems,(800) 782-9094,http://www.creditinfosystems.com
38,Credit Reporting,"Credit Link, LLC",(800) 588-0052,http://www.credit-link.com
39,Verification Services,"Credit Plus, Inc.",(800) 258-3488,https://www.creditplus.com
40,Credit Reporting,Credit Quick Services,(800) 585-7870,https://www.creditquickservices.com
41,Verification Services,Credit Technologies,(800) 575-4632,https://credittechnologies.com/
42,Credit Reporting,"Credit Technologies, Inc.",(800) 445-4922,http://www.credittechnologies.com
43,Credit Reporting,"CTI - Credit Technology, Inc.",(909) 778-1501,http://www.ctinetwork.com/
44,Appraisal Services,Dart Appraisal,(888) 327-8123,https://www.dartappraisal.com
45,Credit Reporting,"Data Facts, Inc.",(800) 264-4110,https://www.datafacts.com/
46,Flood Certification Services,DataVerify Flood,(866) 895-3282,https://www.dataverify.com/content
47,Verification Services,"DataVerify, Inc.",(866) 895-3282,https://www.dataverify.com/content
48,Non-QM,Deephaven Mtg IDENTIFI AUS,844-346-9475,https://deephavenmortgage.com/wholesale/
49,Closing Documents,"Digital Delivery, Inc.",(877) 834-4482,http://www.digitaldocs.com
50,Closing Documents,"DocMagic, Inc",(800) 649-1362,https://www.docmagic.com
51,Closing Documents,Docs On Demand,,http://www.docsondemand.com/
52,Closing Documents,DocsDirect,(800) 886-1966,https://secure.docsdirect.com/home/brokers.asp
53,Closing Documents,Docu Prep,(888) DOC-PREP,http://www.docuprep.com
54,Closing Documents,Docutech ConformX,(800) 497-3584,https://docutech.com/
55,Mortgage Insurance Interfaces,Enact,(800) 444-5664,http://mortgageinsurance.genworth.com/
56,AVM Reports,Equifax Mortgage Web Services,(888) 279-9065,http://www.equifax.com/mortgage
57,Credit Reporting,Equifax Mortgage Web Services,(888)279-9065,https://www.equifax.com/mortgage
58,Verification Services,Equifax Verification Services,,https://theworknumber.com/
59,Mortgage Insurance Interfaces,"Essent Guaranty, Inc.",(877) 673-8190,http://essent.us
60,Credit Reporting,Factual Data by CBC,(800) 673-5525,https://www.factualdata.com
61,Additional Services,Fannie Mae,,http://www.fanniemae.com
62,Title/Escrow Services,Fidelity National Title,(866) 717-1707,https://www.fntic.com/
63,Title/Escrow Services,First American Title Insurance Company,(800) 770-9362,http://www.firstam.com
64,Bundled Services,FirstClose,(877) 677-3282,https://www.firstclose.com/
65,Additional Services,"FirstFunding, Inc.",(866) 451 7800,http://firstfundingusa.com
66,Flood Certification Services,"Floodplain Consultants, Inc.",(800) 945-0246,https://www.floodplain.com
67,Hosting Service,"focusIT, Inc.",(480) 624-7088,https://www.focusitinc.com
68,Additional Services,Freddie Mac,,http://www.freddiemac.com
69,Credit Reporting,Funding Suite,(800) 848-3162,http://www.fundingsuite.com/
70,Flood Certification Services,GC Engineering - Flood Services,(603) 524-8023,https://www.gcengineering.com
71,Appraisal Services,Global DMS,(267) 436-4456,https://www.globaldms.com/
72,Closing Documents,Gregg & Valby - GV Docs,(800) 688-1006,http://www.gregg-valby.com
73,Closing Documents,GuardianDocs,(877)517-8135,https://covius.com/
74,Title/Escrow Services,Heritage Title,,
75,HOA,Hippo,,https://myhippo.com/
76,Additional Services,Homeowner Insurance,(877) 838-8866,https://myhippo.com
77,Closing Documents,"IDS, Inc.",(800) 554-1872,http://www.idsdoc.com
78,Credit Reporting,Information Searching Co.,(800) 290-2801,http://www.isccredit.com
79,Flood Certification Services,Informative Research,(800) 473-4633,https://www.informativeresearch.com
80,Verification Services,Informative Research,(800)473-4633,https://www.informativeresearch.com
81,Credit Reporting,"Informative Research, Inc.",(800) 473-4633,http://www.informativeresearch.com
82,Compliance,"Interthinx, Inc",(800) 333-4510,https://www.firstam.com/mortgagesolutions/
83,Credit Reporting,KCB Credit,(844) 217-5633,https://kcbcredit.com/
84,Title/Escrow Services,Lawyers Title Insurance Company,(888) 866-3684,http://www.ltic.com
85,Product and Pricing,Lender Price,(626) 486-0171,https://lenderprice.com
86,Additional Services,LenderLogix QuickQual,,https://www.lenderlogix.com/products
87,Flood Certification Services,LERETA Tax and Flood Services,(800) 537-3821,http://www.lereta.com
88,Verification Services,LexisNexis Risk Solutions,(800) 869-0751,https://risk.lexisnexis.com
89,Automated Underwriting,LoanScorecard,(800) 617-0892,https://www.loanscorecard.com/
90,Product and Pricing,Loansifter,(920) 687-1222,https://www.loansifter.com
91,Disclosure Fees,LodeStar Software Solutions,(646) 849-1701,http://www.lodestarss.com/lodestar-calyx-integration
92,Flood Certification Services,MassiveCert,844-439-2378,https://www.massivecert.com/
93,Credit Reporting,MCB - Augusta and Savannah,(800) 426-5265,http://www.mcbusa.com
94,Appraisal Services,Mercury Network,(800) 434-7260,http://www.mercuryvmp.com
95,Credit Reporting,"MeridianLink, Inc.",(714) 708-6950,https://www.meridianlink.com/
96,Credit Reporting,MFI Credit Solutions,(714) 500-3264,http://www.mficreditsolutions.com
97,Mortgage Insurance Interfaces,MGIC,(800) 558-9900,http://www.mgic.com
98,Product and Pricing,Mid America Mortgage eCorrespondent,(214) 261-3292,http://mamcorrespondent.com
99,Product and Pricing,Mortech Inc.,(855) 298-9327,https://www.mortech.com/
100,Mortgage Insurance Interfaces,NationalMI,(855)317-4664,https://www.nationalmi.com/
101,Title/Escrow Services,Nations Title Agency,(913) 383-9248,http://www.nationstitle.com
102,Credit Reporting,Network Credit,(800) 955-5238,https://www.sarma.com
103,Title/Escrow Services,North American Title Company (CA),(925) 295-0539,http://www.nat.com
104,Credit Reporting,ONLINE Mortgage Reports,(800) 447-1336,http://www.onlinemortgagereports.com
105,Product and Pricing,Optimal Blue,(888) 899-2583,https://www2.optimalblue.com
106,Flood Certification Services,Partners Credit & Verification Sol,(888) 895-5145,https://www.partnerscredit.com
107,Credit Reporting,Partners Credit & Verification Solutions,(888) 895-5145,https://www.partnerscredit.com/
108,Verification Services,Partners Credit & Verifications Sol,(888) 895-5145,https://www.partnerscredit.com
109,Appraisal Services,PCV Murcor,(877) 880-7720,http://www.pcvmurcor.com
110,Closing Documents,"PeirsonPatterson, LLP - Web Interface",(800) 800-9975,http://www.ppdocs.com/
111,Verification Services,PointServ Instant Verifications,(855) 298-8400,https://pointserv.com/login.aspx
112,Additional Services,PointServ Instant Verifications,(855)298-8400,https://www.pointserv.com
113,Fraud Detection,PointServices,(416) 591-7476,http://www.pitchpointsolutions.com
114,Closing Documents,"Polunsky Beitel Green, LLP - Web Interface",(800) 798-4488,http://www.mortgagelaw.com
115,Credit Reporting,Premium Credit Bureau,(800)322-8825,http://premiumcreditbureau.com
116,Credit Reporting,Premium Credit Bureau Data,(866) 318-6304,https://www.premiumcreditbureau.com/
117,Closing Documents,Propel (AsurityDocs),(202)765-2150,https://www.asurity.com/propel/
118,Non-QM,Quontic Bank,800-908-6600,https://www.quontic.com/
119,Mortgage Insurance Interfaces,Radian - Web Interface,(800) 523-1988,http://www.radian.biz
120,Title/Escrow Services,RamQuest,(800) 542-5503,http://www.ramquest.com
121,Compliance,RegCheck (Asurity),(202)765-2150,https://www.asurity.com/regcheck/
122,Title/Escrow Services,Res/Title,(646) 849-1701,http://www.res-title.com/restitle-calyx-integration
123,Closing Documents,Robertson Anschutz Vetters,(888) 427-2888,http://www.ravdocs.com
124,Credit Reporting,SARMA - Services,(800) 955-5238,http://www.sarma.com
125,Credit Reporting,SARMA-MeridianLink,(800) 955-5238,http://www.sarma.com
126,Title/Escrow Services,Security Title,,
127,Credit Reporting,Service 1st,(877) 814-1178,https://www.srv1st.com/
128,Flood Certification Services,ServiceLink National Flood,(817) 265-6818,https://www.servicelinknationalflood.com
129,Credit Reporting,SettlementOne,(800) 340-2009,http://www.settlementone.com
130,Closing Documents,Signia Docs Inc,(877) 774-4642,https://evolvemortgageservices.com/services/
131,Point-of-Sale,SimpleNexus,(855) 684-2774,https://simplenexus.com/sn/
132,Initial Disclosures,SitusAMC,(800) 783-2283,https://www.situsamc.com/complianceease
133,Compliance,SmartFees by ClosingCorp,(866) 256-7464,https://www.closing.com/smartfees
134,Title/Escrow Services,Stewart Title,(800) STEWART,http://www.stewart.com
135,Disclosure Fees,Stewart Title,(800) STEWART,https://www.stewart.com
136,Verification Services,T Transcript Processing,(949) 453-8480,https://www.transcriptprocessing.com/apps/weborder/
137,Verification Services,The Work Number,(800) 996-7566,http://www.theworknumber.com
138,Title/Escrow Services,Ticor Title,(888) 934-3354,https://www.ticortitle.com/Default.aspx
139,Appraisal Services,Triserv,(404) 252-5460,http://triservllc.com/
140,Verification Services,TRV Services (a division of NCS),(800) 582-7066,http://www.ncstrv.com
141,Title/Escrow Services,Unisource National Lender Services,(972) 596-5166,http://unisourcejv.com
142,Credit Reporting,United One Resources,(800) WE-CLOSE,http://www.unitedoneresources.com
143,Credit Reporting,Universal Credit - National,(610) 284-1000,http://www.univcredit.com
144,Appraisal Services,ValueLink Software,(888) 587-0805,https://valuelinksoftware.com
145,Verification Services,Veri-Tax,800-969-5100,http://www.veri-tax.com
146,Flood Certification Services,"Western Technologies Group, LLC",(908) 725-1143,https://www.westerntechnologiesgroup.com/
147,Closing Documents,Wolther Kluwer,800-554-1872,https://info.idsdoc.com
148,Credit Reporting,Xactus,(800) 275-7722,https://www.cisinfo.net
149,Verification Services,Xactus,(888)212-4200,https://www.massivecert.com
150,Flood  Certification Services,Xactus,(888)212-4200,https://www.massivecert.com
151,Credit Reporting,Xactus (Avantus),(800)243-0120,https://www.avantus.com
152,Credit Reporting,Xactus (CreditPlu),(800)243-0120,https://www.avantus.com
